Cond,Map,GroupID,File Name,E,P,Qc,Qi,Qr,Ra,Rm,Rd,S,J,N,C
3,2,GD,GD0417141500,34,17,4,12,2,28,5,1,25,14,3,0
3,1,A,GD0417141500,7,9,3,9,1,18,3,0,13,5,1,0
3,1,B,GD0417141500,27,8,1,3,2,10,2,1,12,9,2,0
3,2,GD,GD0422141500,47,14,8,13,1,18,10,3,8,13,2,0
3,1,A,GD0422141500,25,7,4,6,1,10,5,2,3,7,2,0
3,1,B,GD0422141500,21,6,4,7,0,7,5,2,5,6,0,0
3,2,GD,GD0424141500,40,11,8,5,0,43,9,1,17,24,1,0
3,1,A,GD0424141500,15,5,5,3,0,26,4,1,4,10,1,0
3,1,B,GD0424141500,25,6,3,2,0,17,5,0,13,14,0,0
3,2,GD,GD0425141500,23,8,2,8,0,22,10,0,30,17,1,0
3,1,A,GD0425141500,15,4,1,5,0,7,5,0,12,9,0,0
3,1,B,GD0425141500,8,5,1,3,0,15,6,0,18,8,1,0
3,2,GD,GD0429141500,35,5,2,8,0,22,10,0,31,13,4,0
3,1,A,GD0429141500,24,5,1,2,0,3,7,0,14,9,1,0
3,1,B,GD0429141500,11,0,1,6,0,19,3,0,17,4,3,0
3,2,GD,GD0501141200,58,28,8,12,2,26,4,1,33,75,3,0
3,1,A,GD0501141200,12,3,1,4,0,13,3,0,19,16,1,0
3,1,B,GD0501141200,46,25,7,8,2,13,1,0,14,59,1,0
3,2,GD,GD0605141100,31,7,10,9,0,24,2,0,14,28,1,0
3,1,A,GD0605141100,15,3,2,3,0,12,1,0,9,11,1,0
3,1,B,GD0605141100,16,4,8,6,0,12,1,0,5,17,0,0
3,2,GD,GD0612141600,28,5,2,8,1,14,11,0,20,18,2,0
3,1,A,GD0612141600,15,3,1,4,0,6,6,0,11,10,1,0
3,1,B,GD0612141600,13,2,1,2,0,8,5,0,9,8,1,0
3,2,GD,GD0618141100,99,38,20,17,1,62,9,1,26,28,6,0
3,1,A,GD0618141100,43,16,10,12,0,35,3,0,18,14,1,0
3,1,B,GD0618141100,56,22,10,6,1,27,6,1,8,14,5,0
3,2,GD,GD0619141600,53,26,30,6,3,56,14,0,10,49,7,0
3,1,A,GD0619141600,31,14,19,6,3,37,6,0,10,39,5,0
